Org name,URL
Pittsburgh Medical Device Professionals,N/A
Pittsburgh PDMA,https://community.pdma.org/pittsburgh/events/calendar
Ascender,https://ascenderpgh.com/event/
TheCEOStrategy,https://theceostrategy.com/
PTC,https://www.pghtech.org/events
PGH.AI,http://pgh.ai
Code & Supply,https://www.meetup.com/pittsburgh-code-supply/events/calendar/
Code & Coffee,https://www.meetup.com/code-and-coffee-pgh/events/
Bio Breakfast,https://www.biobreakfast.com/
Pittsburgh Robotics Network,https://www.robopgh.org/events#events
Pittsburgh Hardware Meetup,https://lu.ma/pit-hardware-meetup?compact=true&k=c
Product Tank Pittsburgh,https://www.meetup.com/producttank-pittsburgh/events/
Pitch & Run,https://pitchand.run/index.php/pittsburgh/
Technically Coffee,https://www.technicallycoffee.net/about
PGH.AI,https://www.pgh.ai/monthlymeetup
InnovationWorks,https://www.innovationworks.org/events/
CMU Swartz,https://www.cmu.edu/swartz-center-for-entrepreneurship/events/index.html
Pitt BIC,https://www.bigidea.pitt.edu/events/month/2025-09/
GetWitIT,https://getwitit.org/chapter/pittsburgh-chapter/
StartupGrindPGH,https://www.startupgrind.com/pittsburgh/
Bridge City Connections,https://bridgecityconnections.com/pittsburgh-business-events
Good Business Network,https://lu.ma/goodbiz?compact=true&period=past
ProductCamp Pittsburgh,https://www.pghpcamp.com/
AI @ Work,https://www.aiatworkpgh.com/#events
Transform Labs,https://www.transformlabs.com/markets/pittsburgh-pa
PSN,N/A
Pittsburgh AMA,https://amapittsburgh.org/events/
Meetup General Events in PGH,https://www.meetup.com/find/?location=us--pa--Glenshaw&source=EVENTS&categoryId=546
Ellevate,https://www.ellevatenetwork.com/chapters/8-us-pittsburgh
Pittsburgh Young Professionals,https://pyp23.wildapricot.org/events/